TF	lung	oral epithelial cell	adipose tissue subcutaneous	endometrium	neutrophil	Huvec cells	esophagus	astrocyte	fallopian tube	colon fibroblast	central memory CD4. T cell	thalamus subthalamic nucleus	retrocervical infiltrate	small airway epithelial cell	microvascular endothelial cell	uterus	fallopian tube epithelial cell	immortalized airway epithelial cell	amniocyte	thalamus lateral nuclei	thyroid gland	embryoid body differentiation 1	pons	effector memory CD4. T cell	osteoblast	differentiated hepatocyte	trigeminal ganglia	naive B cell	stomach	penis	cultured breast epithelial cell	caudate	stellate neuron from entorhinal cortex	msc to chondrocyte differentiation day 21	activated B cell	hepatic stellate cell Ito cell	neural precursors cells	lung primary fibroblast	large airway epithelial cell	immortalized breast epithelial cell	medulla	activated myeloid dendritic cell	skin cultured fibroblast	substantia nigra reticulata	subthalamic nucleus	hypothalamus	dorsal root ganglia	placenta	colon	cervix
HOXB13	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1
HIC2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
TBX21	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
GCM1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0
FOXK2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
HNF4G	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ZSCAN29	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1
KLF4	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PRDM14	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1
CREB3L4	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0
HOXD9	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1
ZSCAN12	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZNF396	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
ZNF382	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0
SOX3	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ATF6	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TRPS1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1
ASCL3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
ELF3	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
ZNF267	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1
FOXD4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
GSX1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0
HOXA10 /// HOXA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC5	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1
